hosp,procs,procCount,infCount,sir,ci-low,ci-high,comp
HOSPITAL COMMITTEE AREA LIVERMORE PLEASANTON,Hip Prosthesis Surgery,207,0,0.00,0.00,3.49,N.D.
"VALLEYCARE MEDICAL CENTER, PLEASANTON",Hip Prosthesis Surgery,,,,,,
"VALLEY MEMORIAL HOSPITAL, LIVERMORE",Hip Prosthesis Surgery,,,,,,
HUNTINGTON BEACH HOSP,Hip Prosthesis Surgery,<20,,,,,
"HUNTINGTON MEMORIAL HOSP, PASADENA",Hip Prosthesis Surgery,361,4,1.08,0.29,2.76,N.D.
"JOHN F. KENNEDY MEMORIAL HOSP, INDIO",Hip Prosthesis Surgery,221,0,0.00*,0.00,4.02,N.D.*
"JOHN MUIR MED CTR, CONCORD",Hip Prosthesis Surgery,370,1,0.41,0.01,2.28,N.D.
"JOHN MUIR MED CTR, WALNUT CREEK",Hip Prosthesis Surgery,337,2,0.59,0.07,2.12,N.D.
"KAISER FOUNDATION HOSP, ANTIOCH",Hip Prosthesis Surgery,299,1,0.60,0.02,3.32,N.D.
"KAISER FOUNDATION HOSP, BALDWIN PARK",Hip Prosthesis Surgery,226,0,0.00,0.00,1.98,N.D.
"KAISER FOUNDATION HOSP-DOWNEY, BELLFLOWER",Hip Prosthesis Surgery,215,1,0.71,0.02,3.95,N.D.
"KAISER FOUNDATION HOSP, FRESNO",Hip Prosthesis Surgery,162,0,0.00,0.00,3.37,N.D.
"KAISER FOUNDATION HOSP, LOS ANGELES",Hip Prosthesis Surgery,113,0,0.00*,0.00,4.05,N.D.*
"KAISER FOUNDATION HOSP, MORENO VALLEY",Hip Prosthesis Surgery,<20,,,,,
"KAISER FOUNDATION HOSP, PANORAMA CITY",Hip Prosthesis Surgery,199,0,0.00,0.00,2.85,N.D.
"KAISER FOUNDATION HOSP, REDWOOD CITY",Hip Prosthesis Surgery,163,0,0.00*,0.00,3.80,N.D.*
"KAISER FOUNDATION HOSP, RIVERSIDE",Hip Prosthesis Surgery,206,4,2.94,0.80,7.53,N.D.
"KAISER FOUNDATION HOSP, ROSEVILLE",Hip Prosthesis Surgery,566,0,0.00,0.00,1.01,N.D.
"KAISER FOUNDATION HOSP, SACRAMENTO",Hip Prosthesis Surgery,269,1,0.40,0.01,2.21,N.D.
"KAISER FOUNDATION HOSP, SAN DIEGO",Hip Prosthesis Surgery,376,3,0.71,0.15,2.07,N.D.
"KAISER FOUNDATION HOSP, SAN FRANCISCO",Hip Prosthesis Surgery,222,2,0.96,0.12,3.46,N.D.
KAISER FOUNDATION HOSP-SAN JOSE,Hip Prosthesis Surgery,178,1,1.28*,0.03,7.11,N.D.*
"KAISER FOUNDATION HOSP, SAN RAFAEL",Hip Prosthesis Surgery,245,0,0.00,0.00,2.17,N.D.
KAISER FOUNDATION HOSP-SANTA CLARA,Hip Prosthesis Surgery,350,0,0.00,0.00,1.20,N.D.
"KAISER FOUNDATION HOSP, SANTA ROSA",Hip Prosthesis Surgery,266,1,0.61,0.02,3.37,N.D.
"KAISER FOUNDATION HOSP SOUTH BAY, HARBOR CITY",Hip Prosthesis Surgery,207,2,1.40,0.17,5.05,N.D.
KAISER FOUNDATION HOSP-SOUTH SACRAMENTO,Hip Prosthesis Surgery,195,0,0.00,0.00,1.64,N.D.
"KAISER FOUNDATION HOSP, SOUTH SAN FRANCISCO",Hip Prosthesis Surgery,173,1,1.08*,0.03,6.04,N.D.*
"KAISER FOUNDATION HOSP, VACAVILLE",Hip Prosthesis Surgery,104,1,1.65*,0.04,9.16,N.D.*
"KAISER FOUNDATION HOSP & REHAB. CTR, VALLEJO",Hip Prosthesis Surgery,233,0,0.00,0.00,1.88,N.D.
KAISER FOUNDATION HOSP-WALNUT CREEK,Hip Prosthesis Surgery,293,1,0.43,0.01,2.37,N.D.
"KAISER FOUNDATION HOSP-WEST LA, LOS ANGELES",Hip Prosthesis Surgery,241,0,0.00,0.00,1.61,N.D.
"KAISER FOUNDATION HOSP, WOODLAND HILLS",Hip Prosthesis Surgery,290,1,0.49,0.01,2.75,N.D.
KAISER FOUNDATION HOSPS,Hip Prosthesis Surgery,,,,,,
"KAISER FOUNDATION HOSP, IRVINE",Hip Prosthesis Surgery,456,1,0.38,0.01,2.13,N.D.
KAISER FOUNDATION HOSPS,Hip Prosthesis Surgery,,,,,,
"KAISER FOUNDATION HOSP, FONTANA",Hip Prosthesis Surgery,360,0,0.00,0.00,1.41,N.D.
KAISER FOUNDATION HOSPS,Hip Prosthesis Surgery,248,0,0.00,0.00,1.93,N.D.
"KAISER FOUNDATION HOSP, FREMONT",Hip Prosthesis Surgery,,,,,,
"KAISER FOUNDATION HOSP, HAYWARD/FREMONT",Hip Prosthesis Surgery,,,,,,
KAISER FOUNDATION HOSPS,Hip Prosthesis Surgery,250,0,0.00,0.00,1.59,N.D.
"KAISER FOUNDATION HOSP, MODESTO",Hip Prosthesis Surgery,,,,,,
"KAISER FOUNDATION HOSP, MANTECA",Hip Prosthesis Surgery,,,,,,
KAISER FOUNDATION HOSPS,Hip Prosthesis Surgery,456,1,0.24,0.01,1.31,N.D.
"KAISER FOUNDATION HOSP, OAKLAND/RICHMOND",Hip Prosthesis Surgery,,,,,,
"KAISER FOUNDATION HOSP, RICHMOND CAMPUS",Hip Prosthesis Surgery,,,,,,
"KAWEAH DELTA MED CTR, VISALIA",Hip Prosthesis Surgery,154,0,0.00,0.00,2.37,N.D.
"KECK HOSP OF USC, LOS ANGELES",Hip Prosthesis Surgery,289,5,1.07,0.35,2.50,N.D.
"KERN MED CTR, BAKERSFIELD",Hip Prosthesis Surgery,31,1,,,,
LA PALMA INTERCOMMUNITY HOSP,Hip Prosthesis Surgery,<20,,,,,
"LAC/HARBOR-UCLA MED CTR, TORRANCE",Hip Prosthesis Surgery,64,0,,,,
LAKEWOOD REGIONAL MED CTR,Hip Prosthesis Surgery,89,1,,,,
"LODI MEMORIAL HOSP ASSOCIATION, INC.",Hip Prosthesis Surgery,77,0,,,,
LODI MEMORIAL HOSP,Hip Prosthesis Surgery,(1RH),,,,,
LODI MEMORIAL HOSP-WEST,Hip Prosthesis Surgery,,,,,,
LOMA LINDA UNIVERSITY MED CTR,Hip Prosthesis Surgery,109,3,2.21,0.46,6.47,N.D.
"LOMA LINDA UNIV HEART & SURGICAL HOSP, REDLANDS",Hip Prosthesis Surgery,,,,,,
"LOMA LINDA UNIV MED CTR EAST HOSP, LOMA LINDA",Hip Prosthesis Surgery,,,,,,
"LOMA LINDA UNIV MED CTR, LOMA LINDA",Hip Prosthesis Surgery,,,,,,
LOMA LINDA UNIVERSITY MEDICAL CENTER - MURRIETA,Hip Prosthesis Surgery,114,0,0.00*,0.00,5.83,N.D.*
LOMPOC VALLEY MED CTR,Hip Prosthesis Surgery,41,0,,,,
"LONG BEACH MEMORIAL MED CTR, LONG BEACH",Hip Prosthesis Surgery,315,2,0.72,0.09,2.61,N.D.
LOS ALAMITOS MED CTR,Hip Prosthesis Surgery,162,1,0.79,0.02,4.42,N.D.
LOS ANGELES METROPOLITAN MED CTR,Hip Prosthesis Surgery,<20,,,,,
LOS ROBLES REGIONAL MED CTR,Hip Prosthesis Surgery,361,3,1.04,0.21,3.04,N.D.
"LOS ROBLES HOSP & MED CTR, E , THOUSAND OAKS",Hip Prosthesis Surgery,,,,,,
"LOS ROBLES HOSP & MED CTR, THOUSAND OAKS",Hip Prosthesis Surgery,,,,,,
THOUSAND OAKS SURGICAL HOSP,Hip Prosthesis Surgery,,,,,,
"MAD RIVER COMMUNITY HOSP, ARCATA",Hip Prosthesis Surgery,<20,,,,,
MADERA COMMUNITY HOSP,Hip Prosthesis Surgery,<20,,,,,
MAMMOTH HOSP,Hip Prosthesis Surgery,<20,,,,,
MARIAN REGIONAL MEDICAL CENTER,Hip Prosthesis Surgery,,,,,,
MARIAN REGIONAL MEDICAL CENTER,Hip Prosthesis Surgery,114,0,0.00,0.00,2.96,N.D.
"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE",Hip Prosthesis Surgery,152,0,0.00,0.00,3.61,N.D.
"MARIN GENERAL HOSP, GREENBRAE",Hip Prosthesis Surgery,143,0,0.00*,0.00,3.81,N.D.*
MARINA DEL REY HOSP,Hip Prosthesis Surgery,53,0,,,,
"MARK TWAIN MEDICAL CENTER, SAN ANDREAS",Hip Prosthesis Surgery,30,0,,,,
"MARSHALL MED CTR (1-RH), PLACERVILLE",Hip Prosthesis Surgery,91,2,,,,
MEMORIAL HOSP OF GARDENA,Hip Prosthesis Surgery,<20,,,,,
"MEMORIAL MED CTR, MODESTO",Hip Prosthesis Surgery,253,2,0.77,0.09,2.79,N.D.
"MENDOCINO COAST DISTRICT HOSP, FORT BRAGG",Hip Prosthesis Surgery,33,1,,,,
"MENIFEE VALLEY MED CTR, SUN CITY",Hip Prosthesis Surgery,73,0,,,,
"MERCY GENERAL HOSP, SACRAMENTO",Hip Prosthesis Surgery,217,3,1.54,0.32,4.49,N.D.
MERCY HOSP OF FOLSOM,Hip Prosthesis Surgery,78,2,,,,
MERCY MED CTR MERCED,Hip Prosthesis Surgery,104,1,1.27*,0.03,7.07,N.D.*
MERCY MED CTR MT. SHASTA,Hip Prosthesis Surgery,32,0,,,,
MERCY MED CTR REDDING,Hip Prosthesis Surgery,371,1,0.20,0.01,1.11,N.D.
"MERCY SAN JUAN MED CTR, CARMICHAEL",Hip Prosthesis Surgery,280,2,0.80,0.10,2.88,N.D.
METHODIST HOSP OF SACRAMENTO,Hip Prosthesis Surgery,88,0,,,,
"METHODIST HOSP OF SOUTHERN CA, ARCADIA",Hip Prosthesis Surgery,190,5,2.13,0.69,4.96,N.D.
MILLS-PENINSULA HEALTH SERVICES,Hip Prosthesis Surgery,227,1,0.47,0.01,2.62,N.D.
"MILLS HEALTH CTR, SAN MATEO",Hip Prosthesis Surgery,,,,,,
"MILLS-PENINSULA MED CTR, BURLINGAME",Hip Prosthesis Surgery,,,,,,
"MIRACLE MILE MED CTR, LOS ANGELES",Hip Prosthesis Surgery,<20,,,,,
"MISSION COMMUNITY HOSP, PANORAMA",Hip Prosthesis Surgery,<20,,,,,
MISSION HOSP REGIONAL MED CTR,Hip Prosthesis Surgery,,,,,,
MISSION HOSP LAGUNA BEACH,Hip Prosthesis Surgery,68,0,,,,
"MISSION HOSP REGIONAL MED CTR, MISSION VIEJO",Hip Prosthesis Surgery,186,4,2.85,0.78,7.28,N.D.
MONTCLAIR HOSP MED CTR,Hip Prosthesis Surgery,<20,,,,,
MONTEREY PARK HOSP,Hip Prosthesis Surgery,24,0,,,,
"NATIVIDAD MED CTR, SALINAS",Hip Prosthesis Surgery,<20,,,,,
NORTHBAY HEALTHCARE GROUP,Hip Prosthesis Surgery,,,,,,
"NORTHBAY MED CTR, FAIRFIELD",Hip Prosthesis Surgery,<20,,,,,
"NORTHBAY VACAVALLEY HOSP, VACAVILLE",Hip Prosthesis Surgery,40,0,,,,
"NORTHERN INYO HOSP, BISHOP",Hip Prosthesis Surgery,<20,,,,,
NORTHRIDGE HOSP MED CTR,Hip Prosthesis Surgery,199,1,0.43,0.01,2.42,N.D.
NOVATO COMMUNITY HOSP,Hip Prosthesis Surgery,56,1,,,,
"O'CONNOR HOSP, SAN JOSE",Hip Prosthesis Surgery,136,2,1.24,0.15,4.49,N.D.
"OAK VALLEY HOSP DISTRICT (2-RH), OAKDALE",Hip Prosthesis Surgery,<20,,,,,
"OJAI VALLEY COMMUNITY HOSP, OJAI",Hip Prosthesis Surgery,<20,,,,,
"OLYMPIA MED CTR, LOS ANGELES",Hip Prosthesis Surgery,42,0,,,,
"ORANGE COAST MEMORIAL MED CTR, FOUNTAIN VALLEY",Hip Prosthesis Surgery,<20,,,,,
PACIFIC ALLIANCE MED CTR,Hip Prosthesis Surgery,20,0,,,,
PACIFIC HOSP OF LONG BEACH,Hip Prosthesis Surgery,<20,,,,,
"PACIFICA HOSP OF THE VALLEY, SUN VALLEY",Hip Prosthesis Surgery,<20,,,,,
"PALM DRIVE HOSP, SEBASTOPOL",Hip Prosthesis Surgery,54,0,,,,
PALMDALE REGIONAL MEDICAL CTR,Hip Prosthesis Surgery,40,0,,,,
PALOMAR HEALTH,Hip Prosthesis Surgery,262,2,0.96,0.12,3.48,N.D.
"PALOMAR HEALTH DOWNTOWN CAMPUS, ESCONDIDO",Hip Prosthesis Surgery,,,,,,
"PALOMAR MED CTR, ESCONDIDO",Hip Prosthesis Surgery,,,,,,
"PARADISE VALLEY HOSP, NATIONAL CITY",Hip Prosthesis Surgery,<20,,,,,
"PARKVIEW COMMUNITY HOSP MED CTR, RIVERSIDE",Hip Prosthesis Surgery,183,1,1.08*,0.03,5.99,N.D.*
PATIENTS' HOSP OF REDDING,Hip Prosthesis Surgery,<20,,,,,
"PETALUMA VALLEY HOSP, PETALUMA",Hip Prosthesis Surgery,69,0,,,,
"PIONEERS MEMORIAL HEALTHCARE DISTRICT, BRAWLEY",Hip Prosthesis Surgery,33,0,,,,
PLACENTIA LINDA HOSP,Hip Prosthesis Surgery,138,1,1.19*,0.03,6.65,N.D.*
"POMERADO HOSP, POWAY",Hip Prosthesis Surgery,174,0,0.00*,0.00,3.89,N.D.*
"POMONA VALLEY HOSP MED CTR, POMONA",Hip Prosthesis Surgery,107,0,0.00,0.00,3.42,N.D.
"PRESBYTERIAN INTERCOMMUNITY HOSP, WHITTIER",Hip Prosthesis Surgery,211,1,0.33,0.01,1.84,N.D.
"PROVIDENCE HOLY CROSS MED CTR, MISSION HILLS",Hip Prosthesis Surgery,158,1,0.88,0.02,4.89,N.D.
"PROVIDENCE LITTLE COMPANY OF MARY MED CTR,",Hip Prosthesis Surgery,,,,,,
SAN PEDRO,Hip Prosthesis Surgery,,,,,,
"PROVIDENCE LITTLE COMPANY OF MARY MED CTR, TORRANCE",Hip Prosthesis Surgery,153,1,0.75,0.02,4.18,N.D.
"PROVIDENCE SAINT JOSEPH MED CTR, BURBANK",Hip Prosthesis Surgery,226,3,1.40,0.29,4.11,N.D.
"PROVIDENCE TARZANA MED CTR, TARZANA",Hip Prosthesis Surgery,72,0,0.00,0.00,3.62,N.D.
"QUEEN OF THE VALLEY MED CTR, NAPA",Hip Prosthesis Surgery,148,2,2.08*,0.25,7.51,N.D.*
"RADY CHILDREN'S HOSP, SAN DIEGO",Hip Prosthesis Surgery,<20,,,,,
REDLANDS COMMUNITY HOSP,Hip Prosthesis Surgery,278,5,1.84,0.60,4.30,N.D.
"REDWOOD MEMORIAL HOSP, FORTUNA",Hip Prosthesis Surgery,76,0,,,,
REGIONAL MED CTR OF SAN JOSE,Hip Prosthesis Surgery,41,0,,,,
RIDGECREST REGIONAL HOSP,Hip Prosthesis Surgery,<20,,,,,
RIVERSIDE COMMUNITY HOSP,Hip Prosthesis Surgery,136,2,1.54,0.19,5.56,N.D.
"RIVERSIDE COUNTY REGIONAL MED CTR, MORENO VALLEY",Hip Prosthesis Surgery,88,1,0.91,0.02,5.07,N.D.
"RONALD REAGAN UCLA MED CTR, LOS ANGELES",Hip Prosthesis Surgery,59,0,,,,
SADDLEBACK MEMORIAL MED CTR,Hip Prosthesis Surgery,348,2,0.80,0.10,2.91,N.D.
"SADDLEBACK MEMORIAL MED CTR, LAGUNA HILLS",Hip Prosthesis Surgery,,,,,,
SADDLEBACK MEMORIAL MED CTR-SAN CLEMENTE,Hip Prosthesis Surgery,,,,,,
"SAINT AGNES MED CTR, FRESNO",Hip Prosthesis Surgery,297,0,0.00,0.00,1.41,N.D.
"SAINT FRANCIS MED CTR, LYNWOOD",Hip Prosthesis Surgery,<20,,,,,
"SAINT FRANCIS MEMORIAL HOSP, SAN FRANCISCO",Hip Prosthesis Surgery,135,0,0.00*,0.00,4.01,N.D.*
"SAINT JOHN'S HEALTH CTR, SANTA MONICA",Hip Prosthesis Surgery,969,1,0.17,0.00,0.97,Low
"SAINT LOUISE REGIONAL HOSP, GILROY",Hip Prosthesis Surgery,26,0,,,,
"SAINT VINCENT MED CTR, LOS ANGELES",Hip Prosthesis Surgery,298,1,0.19,0.01,1.07,N.D.
SALINAS VALLEY MEMORIAL HOSP,Hip Prosthesis Surgery,128,0,0.00,0.00,3.64,N.D.
"SAN ANTONIO COMMUNITY HOSP, UPLAND",Hip Prosthesis Surgery,142,1,0.81,0.02,4.53,N.D.
SAN DIMAS COMMUNITY HOSP,Hip Prosthesis Surgery,49,0,,,,
SAN FRANCISCO GENERAL HOSP,Hip Prosthesis Surgery,63,0,,,,
"SAN GABRIEL VALLEY MED CTR, SAN GABRIEL",Hip Prosthesis Surgery,40,0,,,,
"SAN GORGONIO MEMORIAL HOSP, BANNING",Hip Prosthesis Surgery,47,0,,,,
"SAN JOAQUIN COMMUNITY HOSP, BAKERSFIELD",Hip Prosthesis Surgery,214,0,0.00,0.00,1.56,N.D.
"SAN JOAQUIN GENERAL HOSP, FRENCH P",Hip Prosthesis Surgery,27,0,,,,
