hosp,procs,procCount,infCount,sir,ci-low,ci-high,comp
"KAISER FOUNDATION HOSP, FREMONT",Abdominal Aortic Aneurysm Repair,,,,,,
"KAISER FOUNDATION HOSP, HAYWARD/FREMONT",Abdominal Aortic Aneurysm Repair,,,,,,
KAISER FOUNDATION HOSPS,Abdominal Aortic Aneurysm Repair,<20,,,,,
"KAISER FOUNDATION HOSP, MODESTO",Abdominal Aortic Aneurysm Repair,,,,,,
"KAISER FOUNDATION HOSP, MANTECA",Abdominal Aortic Aneurysm Repair,,,,,,
KAISER FOUNDATION HOSPS,Abdominal Aortic Aneurysm Repair,<20,,,,,
"KAISER FOUNDATION HOSP, OAKLAND/RICHMOND",Abdominal Aortic Aneurysm Repair,,,,,,
"KAISER FOUNDATION HOSP, RICHMOND CAMPUS",Abdominal Aortic Aneurysm Repair,,,,,,
"KAWEAH DELTA MED CTR, VISALIA",Abdominal Aortic Aneurysm Repair,<20,,,,,
"KECK HOSP OF USC, LOS ANGELES",Abdominal Aortic Aneurysm Repair,<20,,,,,
"LAC+USC MED CTR, LOS ANGELES",Abdominal Aortic Aneurysm Repair,<20,,,,,
"LAC/HARBOR-UCLA MED CTR, TORRANCE",Abdominal Aortic Aneurysm Repair,<20,,,,,
LAKEWOOD REGIONAL MED CTR,Abdominal Aortic Aneurysm Repair,<20,,,,,
LOMA LINDA UNIVERSITY MED CTR,Abdominal Aortic Aneurysm Repair,<20,,,,,
"LOMA LINDA UNIV HEART & SURGICAL HOSP, REDLANDS",Abdominal Aortic Aneurysm Repair,,,,,,
"LOMA LINDA UNIV MED CTR EAST HOSP, LOMA LINDA",Abdominal Aortic Aneurysm Repair,,,,,,
"LOMA LINDA UNIV MED CTR, LOMA LINDA",Abdominal Aortic Aneurysm Repair,,,,,,
LOMA LINDA UNIVERSITY MEDICAL CENTER - MURRIETA,Abdominal Aortic Aneurysm Repair,<20,,,,,
"LONG BEACH MEMORIAL MED CTR, LONG BEACH",Abdominal Aortic Aneurysm Repair,33,0,,,,
LOS ALAMITOS MED CTR,Abdominal Aortic Aneurysm Repair,<20,,,,,
"LOS ANGELES CO OLIVE VIEW-UCLA MED CTR, SYLMAR",Abdominal Aortic Aneurysm Repair,<20,,,,,
LOS ROBLES REGIONAL MED CTR,Abdominal Aortic Aneurysm Repair,21,1,,,,
"LOS ROBLES HOSP & MED CTR, E , THOUSAND OAKS",Abdominal Aortic Aneurysm Repair,,,,,,
"LOS ROBLES HOSP & MED CTR, THOUSAND OAKS",Abdominal Aortic Aneurysm Repair,,,,,,
THOUSAND OAKS SURGICAL HOSP,Abdominal Aortic Aneurysm Repair,,,,,,
"LUCILE SALTER PACKARD CHILDREN'S HOSP AT STANFORD,",Abdominal Aortic Aneurysm Repair,,,,,,
MARIAN REGIONAL MEDICAL CENTER,Abdominal Aortic Aneurysm Repair,,,,,,
MARIAN REGIONAL MEDICAL CENTER,Abdominal Aortic Aneurysm Repair,<20,,,,,
"MARIN GENERAL HOSP, GREENBRAE",Abdominal Aortic Aneurysm Repair,<20,,,,,
"MEMORIAL MED CTR, MODESTO",Abdominal Aortic Aneurysm Repair,<20,,,,,
"MENIFEE VALLEY MED CTR, SUN CITY",Abdominal Aortic Aneurysm Repair,<20,,,,,
"MERCY GENERAL HOSP, SACRAMENTO",Abdominal Aortic Aneurysm Repair,<20,,,,,
MERCY MED CTR REDDING,Abdominal Aortic Aneurysm Repair,<20,,,,,
"MERCY SAN JUAN MED CTR, CARMICHAEL",Abdominal Aortic Aneurysm Repair,<20,,,,,
MILLS-PENINSULA HEALTH SERVICES,Abdominal Aortic Aneurysm Repair,<20,,,,,
"MILLS HEALTH CTR, SAN MATEO",Abdominal Aortic Aneurysm Repair,,,,,,
"MILLS-PENINSULA MED CTR, BURLINGAME",Abdominal Aortic Aneurysm Repair,,,,,,
MISSION HOSP REGIONAL MED CTR,Abdominal Aortic Aneurysm Repair,,,,,,
"MISSION HOSP REGIONAL MED CTR, MISSION VIEJO",Abdominal Aortic Aneurysm Repair,<20,,,,,
NORTHRIDGE HOSP MED CTR,Abdominal Aortic Aneurysm Repair,<20,,,,,
"O'CONNOR HOSP, SAN JOSE",Abdominal Aortic Aneurysm Repair,<20,,,,,
"ORANGE COAST MEMORIAL MED CTR, FOUNTAIN VALLEY",Abdominal Aortic Aneurysm Repair,<20,,,,,
PALOMAR HEALTH,Abdominal Aortic Aneurysm Repair,<20,,,,,
"PALOMAR HEALTH DOWNTOWN CAMPUS, ESCONDIDO",Abdominal Aortic Aneurysm Repair,,,,,,
"PALOMAR MED CTR, ESCONDIDO",Abdominal Aortic Aneurysm Repair,,,,,,
"POMONA VALLEY HOSP MED CTR, POMONA",Abdominal Aortic Aneurysm Repair,<20,,,,,
"PRESBYTERIAN INTERCOMMUNITY HOSP, WHITTIER",Abdominal Aortic Aneurysm Repair,<20,,,,,
"PROVIDENCE HOLY CROSS MED CTR, MISSION HILLS",Abdominal Aortic Aneurysm Repair,<20,,,,,
"PROVIDENCE LITTLE COMPANY OF MARY MED CTR, TORRANCE",Abdominal Aortic Aneurysm Repair,<20,,,,,
"PROVIDENCE SAINT JOSEPH MED CTR, BURBANK",Abdominal Aortic Aneurysm Repair,<20,,,,,
"PROVIDENCE TARZANA MED CTR, TARZANA",Abdominal Aortic Aneurysm Repair,<20,,,,,
"QUEEN OF THE VALLEY MED CTR, NAPA",Abdominal Aortic Aneurysm Repair,<20,,,,,
"RADY CHILDREN'S HOSP, SAN DIEGO",Abdominal Aortic Aneurysm Repair,<20,,,,,
REDLANDS COMMUNITY HOSP,Abdominal Aortic Aneurysm Repair,<20,,,,,
RIVERSIDE COMMUNITY HOSP,Abdominal Aortic Aneurysm Repair,<20,,,,,
"RIVERSIDE COUNTY REGIONAL MED CTR, MORENO VALLEY",Abdominal Aortic Aneurysm Repair,<20,,,,,
"RONALD REAGAN UCLA MED CTR, LOS ANGELES",Abdominal Aortic Aneurysm Repair,41,0,0,0.00,2.27,N.D.
SADDLEBACK MEMORIAL MED CTR,Abdominal Aortic Aneurysm Repair,<20,,,,,
"SADDLEBACK MEMORIAL MED CTR, LAGUNA HILLS",Abdominal Aortic Aneurysm Repair,,,,,,
SADDLEBACK MEMORIAL MED CTR-SAN CLEMENTE,Abdominal Aortic Aneurysm Repair,,,,,,
"SAINT AGNES MED CTR, FRESNO",Abdominal Aortic Aneurysm Repair,<20,,,,,
"SAINT FRANCIS MEMORIAL HOSP, SAN FRANCISCO",Abdominal Aortic Aneurysm Repair,<20,,,,,
"SAINT JOHN'S HEALTH CTR, SANTA MONICA",Abdominal Aortic Aneurysm Repair,<20,,,,,
"SAINT VINCENT MED CTR, LOS ANGELES",Abdominal Aortic Aneurysm Repair,<20,,,,,
SALINAS VALLEY MEMORIAL HOSP,Abdominal Aortic Aneurysm Repair,<20,,,,,
"SAN ANTONIO COMMUNITY HOSP, UPLAND",Abdominal Aortic Aneurysm Repair,<20,,,,,
SAN DIMAS COMMUNITY HOSP,Abdominal Aortic Aneurysm Repair,<20,,,,,
"SAN JOAQUIN COMMUNITY HOSP, BAKERSFIELD",Abdominal Aortic Aneurysm Repair,<20,,,,,
"SAN RAMON REGIONAL MED CTR, INC.",Abdominal Aortic Aneurysm Repair,<20,,,,,
SAN RAMON REGIONAL MED CTR,Abdominal Aortic Aneurysm Repair,,,,,,
SAN RAMON REGIONAL MED CTR SOUTH BUILDING,Abdominal Aortic Aneurysm Repair,,,,,,
SANTA BARBARA COTTAGE HOSPITAL,Abdominal Aortic Aneurysm Repair,<20,,,,,
SANTA BARBARA COTTAGE HOSP,Abdominal Aortic Aneurysm Repair,,,,,,
REHABILITATION INSTITUTE AT SANTA BARBARA,Abdominal Aortic Aneurysm Repair,,,,,,
"SANTA CLARA VALLEY MED CTR, SAN JOSE",Abdominal Aortic Aneurysm Repair,<20,,,,,
SANTA ROSA MEMORIAL HOSP,Abdominal Aortic Aneurysm Repair,<20,,,,,
"SEQUOIA HOSP, REDWOOD CITY",Abdominal Aortic Aneurysm Repair,<20,,,,,
SETON MED CTR,Abdominal Aortic Aneurysm Repair,<20,,,,,
"SETON MED CTR-COASTSIDE, MOSS BEACH",Abdominal Aortic Aneurysm Repair,,,,,,
"SETON MED CTR, DALY CITY",Abdominal Aortic Aneurysm Repair,,,,,,
"SHASTA REGIONAL MED CTR, REDDING",Abdominal Aortic Aneurysm Repair,<20,,,,,
"SIERRA VISTA REGIONAL MED CTR, SAN LUIS OBISPO",Abdominal Aortic Aneurysm Repair,<20,,,,,
ST BERNARDINE MED CTR,Abdominal Aortic Aneurysm Repair,<20,,,,,
"ST HELENA HOSP, ST HELENA",Abdominal Aortic Aneurysm Repair,<20,,,,,
"ST JOHN'S REGIONAL MED CTR, OXNARD",Abdominal Aortic Aneurysm Repair,<20,,,,,
ST JOSEPH HOSP EUREKA,Abdominal Aortic Aneurysm Repair,,,,,,
"ST JOSEPH HOSP, EUREKA",Abdominal Aortic Aneurysm Repair,<20,,,,,
"ST JOSEPH HOSP, ORANGE",Abdominal Aortic Aneurysm Repair,21,0,,,,
ST JOSEPH'S MED CTR OF STOCKTON,Abdominal Aortic Aneurysm Repair,<20,,,,,
"ST JUDE MED CTR, FULLERTON",Abdominal Aortic Aneurysm Repair,<20,,,,,
"ST MARY MED CTR, APPLE VALLEY",Abdominal Aortic Aneurysm Repair,<20,,,,,
"ST MARY MED CTR, LONG BEACH",Abdominal Aortic Aneurysm Repair,<20,,,,,
"ST MARY'S MED CTR, SAN FRANCISCO",Abdominal Aortic Aneurysm Repair,<20,,,,,
"ST ROSE HOSP, HAYWARD",Abdominal Aortic Aneurysm Repair,<20,,,,,
"STANFORD HOSP, STANFORD",Abdominal Aortic Aneurysm Repair,24,0,0,0.00,2.13,N.D.
SUTTER EAST BAY HOSPS CTR,Abdominal Aortic Aneurysm Repair,<20,,,,,
"ALTA BATES SUMMIT MED CTR, ALTA BATES CAMPUS, BERKELEY",Abdominal Aortic Aneurysm Repair,,,,,,
"ALTA BATES SUMMIT MED CTR, HERRICK CAMPUS, BERKELEY",Abdominal Aortic Aneurysm Repair,,,,,,
SUTTER EAST BAY HOSPS CTR,Abdominal Aortic Aneurysm Repair,<20,,,,,
"ALTA BATES SUMMIT MED CTR, OAKLAND",Abdominal Aortic Aneurysm Repair,,,,,,
"ALTA BATES SUMMIT MED CTR, SUMMIT CAMPUS, OAKLAND",Abdominal Aortic Aneurysm Repair,,,,,,
SUTTER HEALTH SACRAMENTO SIERRA REGION,Abdominal Aortic Aneurysm Repair,<20,,,,,
"SUTTER GENERAL HOSP, SACRAMENTO",Abdominal Aortic Aneurysm Repair,,,,,,
"SUTTER MEMORIAL HOSP, SACRAMENTO",Abdominal Aortic Aneurysm Repair,,,,,,
"SUTTER MED CTR, CASTRO VALLEY",Abdominal Aortic Aneurysm Repair,<20,,,,,
"EDEN MED CTR, CASTRO VALLEY",Abdominal Aortic Aneurysm Repair,,,,,,
SAN LEANDRO HOSP,Abdominal Aortic Aneurysm Repair,,,,,,
SUTTER MED CTR OF SANTA ROSA,Abdominal Aortic Aneurysm Repair,<20,,,,,
SUTTER ROSEVILLE MED CTR,Abdominal Aortic Aneurysm Repair,<20,,,,,
SUTTER WEST BAY HOSPS,Abdominal Aortic Aneurysm Repair,<20,,,,,
"CALIFORNIA PACIFIC MED CTR, CA WEST CAM HOSP, S F",Abdominal Aortic Aneurysm Repair,,,,,,
"CALIFORNIA PACIFIC MED CTR, PACIFIC CAM HOSP, S F",Abdominal Aortic Aneurysm Repair,,,,,,
"TORRANCE MEMORIAL MED CTR, TORRANCE",Abdominal Aortic Aneurysm Repair,<20,,,,,
"TRI-CITY MED CTR, OCEANSIDE",Abdominal Aortic Aneurysm Repair,<20,,,,,
"TWIN CITIES COMMUNITY HOSP, TEMPLETON",Abdominal Aortic Aneurysm Repair,<20,,,,,
"UHS-CORONA, INC.",Abdominal Aortic Aneurysm Repair,<20,,,,,
"CORONA REGIONAL MED CTR, CAMPUS #1",Abdominal Aortic Aneurysm Repair,,,,,,
"CORONA REGIONAL MED CTR, CAMPUS #2",Abdominal Aortic Aneurysm Repair,,,,,,
"UNIVERSITY OF CALIFORNIA DAVIS MED CTR, SACRAMENTO",Abdominal Aortic Aneurysm Repair,<20,,,,,
"UNIVERSAL HEALTH SERVICES OF RANCHO SPRINGS, INC.",Abdominal Aortic Aneurysm Repair,<20,,,,,
"SOUTHWEST HEALTHCARE SYSTEMS, MURRIETA",Abdominal Aortic Aneurysm Repair,,,,,,
"SOUTHWEST HEALTHCARE SYSTEMS, WILDOMAR",Abdominal Aortic Aneurysm Repair,,,,,,
"UNIVERSITY OF CALIFORNIA IRVINE MED CTR, ORANGE",Abdominal Aortic Aneurysm Repair,<20,,,,,
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",Abdominal Aortic Aneurysm Repair,<20,,,,,
"UNIVERSITY OF CALIFORNIA, SAN DIEGO MED CTR",Abdominal Aortic Aneurysm Repair,,,,,,
"UCSD-LA JOLLA, JOHN M.& SALLY B. THORNTON HOSP",Abdominal Aortic Aneurysm Repair,,,,,,
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",Abdominal Aortic Aneurysm Repair,29,0,,,,
"UCSF MED CTR, SAN FRANCISCO",Abdominal Aortic Aneurysm Repair,,,,,,
"UCSF MED CTR AT MOUNT ZION, SAN FRANCISCO",Abdominal Aortic Aneurysm Repair,,,,,,
"VERDUGO HILLS HOSP, GLENDALE",Abdominal Aortic Aneurysm Repair,<20,,,,,
WEST HILLS HOSP AND MED CTR,Abdominal Aortic Aneurysm Repair,<20,,,,,
WESTERN MED CTR SANTA ANA,Abdominal Aortic Aneurysm Repair,<20,,,,,
WHITTIER HOSP MED CTR,Abdominal Aortic Aneurysm Repair,<20,,,,,
WOODLAND MEMORIAL HOSP,Abdominal Aortic Aneurysm Repair,<20,,,,,
ADVENTIST HEALTH SYSTEMS,Appendix Surgery,256,2,1.83,0.22,6.60,N.D.
"ADVENTIST MED CTR, HANFORD",Appendix Surgery,,,,,,
ADVENTIST MED CTR-SELMA,Appendix Surgery,,,,,,
"ADVENTIST MED CTR, REEDLEY",Appendix Surgery,39,0,,,,
ALAMEDA COUNTY MED CTR,Appendix Surgery,149,2,1.91,0.23,6.91,N.D.
"ALAMEDA COUNTY MED CTR, OAKLAND",Appendix Surgery,,,,,,
"ALAMEDA COUNTY MED CTR-FAIRMONT CAMPUS, SAN LEANDRO",Appendix Surgery,,,,,,
ALAMEDA HOSP,Appendix Surgery,37,0,,,,
ALHAMBRA HOSP MED CTR,Appendix Surgery,36,0,,,,
"ALTA LOS ANGELES HOSPS, INC.",Appendix Surgery,47,0,,,,
LOS ANGELES COMMUNITY HOSP,Appendix Surgery,,,,,,
NORWALK COMMUNITY HOSP,Appendix Surgery,,,,,,
"ALVARADO HOSP, LLC",Appendix Surgery,41,0,,,,
"ALVARADO HOSP MED CTR, CAMPUS #1, SAN DIEGO",Appendix Surgery,,,,,,
"ALVARADO HOSP MED CTR, CAMPUS #2, SAN DIEGO",Appendix Surgery,,,,,,
ANAHEIM GENERAL HOSP,Appendix Surgery,<20,,,,,
"ANTELOPE VALLEY HOSP, LANCASTER",Appendix Surgery,349,2,1.02,0.12,3.68,N.D.
"ARROWHEAD RGN MED CTR, COLTON",Appendix Surgery,202,2,1.10,0.13,3.96,N.D.
BAKERSFIELD HEART HOSP,Appendix Surgery,<20,,,,,
BAKERSFIELD MEMORIAL HOSP,Appendix Surgery,419,0,0.00,0.00,1.83,N.D.
"BANNER LASSEN MED CTR, SUSANVILLE",Appendix Surgery,29,1,,,,
BARSTOW COMMUNITY HOSP,Appendix Surgery,30,0,,,,
"BARTON MEMORIAL HOSP, SOUTH LAKE TAHOE",Appendix Surgery,26,0,,,,
"BEAR VALLEY COMMUNITY HOSP, BIG BEAR LAKE",Appendix Surgery,22,1,,,,
BELLFLOWER MED CTR,Appendix Surgery,35,0,,,,
"BEVERLY HOSP, MONTEBELLO",Appendix Surgery,128,0,0.00*,0.00,4.29,N.D.*
"BIGGS GRIDLEY MEMORIAL HOSP, GRIDLEY",Appendix Surgery,<20,,,,,
"CALIFORNIA HOSP MED CTR, LOS ANGELES",Appendix Surgery,351,2,1.43,0.17,5.15,N.D.
"CALIFORNIA PACIFIC MED CTR, ST LUKE'S CAMPUS,",Appendix Surgery,,,,,,
SAN FRANCISCO,Appendix Surgery,,,,,,
"CEDARS-SINAI MED CTR, LOS ANGELES",Appendix Surgery,417,1,0.17,0.00,0.93,Low
"CENTINELA HOSP MED CTR, INGLEWOOD",Appendix Surgery,76,0,0.00,0.00,3.17,N.D.
"CHAPMAN MED CTR, ORANGE",Appendix Surgery,26,0,,,,
CHILDRENS HOSP AND RESEARCH CTR AT OAKLAND,Appendix Surgery,217,0,0.00,0.00,2.45,N.D.
"CHILDREN'S HOSP AT MISSION, MISSION VIEJO",Appendix Surgery,111,2,6.27*,0.76,22.65,N.D.*
"CHILDREN'S HOSP CENTRAL CA, MADERA",Appendix Surgery,638,7,0.73,0.29,1.51,N.D.
CHILDRENS HOSP OF LOS ANGELES,Appendix Surgery,397,19,5.65,3.40,8.83,High
"CHILDREN'S HOSP OF ORANGE COUNTY, ORANGE",Appendix Surgery,683,1,0.21,0.01,1.16,N.D.
"CHINESE HOSP, SAN FRANCISCO",Appendix Surgery,<20,,,,,
"CHINO VALLEY MED CTR, CHINO",Appendix Surgery,143,0,0.00*,0.00,4.08,N.D.*
"CITRUS VALLEY MED CTR, INC.",Appendix Surgery,388,6,1.32,0.48,2.86,N.D.
"CITRUS VALLEY MED CTR, IC , COVINA",Appendix Surgery,,,,,,
"CITRUS VALLEY MED CTR, QV, WEST COVINA",Appendix Surgery,,,,,,
"CITY OF HOPE HELFORD CLINICAL RESEARCH HOSP, DUARTE",Appendix Surgery,21,0,,,,
"COAST PLAZA HOSP, NORWALK",Appendix Surgery,40,0,,,,
"COASTAL COMMUNITIES HOSP, SANTA ANA",Appendix Surgery,135,1,1.21*,0.03,6.71,N.D.*
COLUSA REG MED CTR,Appendix Surgery,<20,,,,,
COMMUNITY AND MISSION HOSP OF HUNTINGTON PARK,Appendix Surgery,187,0,0.00,0.00,1.85,N.D.
"COMMUNITY HOSP OF THE MONTEREY PENINSULA, MONTEREY",Appendix Surgery,159,0,0.00*,0.00,4.15,N.D.*
COMMUNITY HOSP OF SAN BERNARDINO,Appendix Surgery,173,0,0.00,0.00,3.19,N.D.
"COMMUNITY MEMORIAL HOSP, SAN BUENAVENTURA, VENTURA",Appendix Surgery,269,0,0.00,0.00,1.91,N.D.
"COMMUNITY REGIONAL MED CTR, FRESNO",Appendix Surgery,81,3,2.02,0.42,5.90,N.D.
"CONTRA COSTA REGIONAL MED CTR, MARTINEZ",Appendix Surgery,156,1,0.58,0.02,3.21,N.D.
COUNTY OF VENTURA,Appendix Surgery,250,4,2.28,0.62,5.83,N.D.
VENTURA COUNTY MED CTR,Appendix Surgery,,,,,,
"VENTURA COUNTY MED CTR, SANTA PAULA HOSP",Appendix Surgery,,,,,,
"DAMERON HOSP, STOCKTON",Appendix Surgery,159,1,0.88,0.02,4.92,N.D.
DELANO REGIONAL MED CTR,Appendix Surgery,71,2,,,,
"DESERT REGIONAL MED CTR, PALM SPRINGS",Appendix Surgery,246,0,0.00,0.00,2.91,N.D.
"DESERT VALLEY HOSP, VICTORVILLE",Appendix Surgery,75,0,,,,
